user_id,division,plan_type,device_type,signup_channel,marketing_campaign,subscription_start_date,cancellation_date
97,Central,Standard,Mobile,Organic,,2024-09-26,2024-12-10
98,Central,Premium,Mobile,Organic,,2024-04-12,
99,West,Premium,Mobile,Organic,SpringPromo,2024-03-21,
100,West,Premium,Mobile,Ads,,2024-09-18,
101,West,Standard,Desktop,Referral,BlackFriday,2024-11-27,
102,West,Standard,Mobile,Ads,,2024-10-24,
103,West,Basic,Desktop,Ads,,2024-01-09,2024-03-13
104,East,Premium,Mobile,Ads,BlackFriday,2024-11-30,
105,West,Basic,Mobile,Organic,SpringPromo,2024-03-26,
106,West,Premium,Mobile,Referral,BlackFriday,2024-11-26,
107,Central,Basic,Tablet,Email,,2024-06-23,
108,West,Basic,Mobile,Email,BlackFriday,2024-11-26,
109,Central,Standard,Mobile,Ads,Launch2024,2024-01-01,
110,East,Standard,Mobile,Organic,SpringPromo,2024-03-27,
111,Central,Basic,Mobile,Organic,SummerSale,2024-08-17,2024-12-02
112,Central,Standard,Mobile,Organic,,2024-10-21,
113,Central,Standard,Mobile,Referral,SpringPromo,2024-03-27,2024-07-15
114,Central,Premium,Desktop,Referral,,2024-10-10,
115,Central,Premium,Mobile,Ads,Launch2024,2024-01-12,
116,East,Basic,Mobile,Referral,SummerSale,2024-08-16,2024-11-21
117,West,Premium,Mobile,Ads,,2024-07-03,
118,Central,Standard,Mobile,Organic,SummerSale,2024-08-11,
119,West,Premium,Mobile,Referral,,2024-02-03,
120,East,Basic,Mobile,Referral,BlackFriday,2024-11-29,2025-04-27
121,West,Premium,Desktop,Email,,2024-04-11,
122,West,Standard,Mobile,Referral,,2024-08-03,
123,Central,Premium,Desktop,Organic,SummerSale,2024-08-10,
124,East,Standard,Mobile,Referral,SpringPromo,2024-03-19,2024-07-05
125,West,Basic,Tablet,Email,Launch2024,2024-01-13,
126,West,Premium,Mobile,Organic,SpringPromo,2024-03-15,
127,West,Premium,Mobile,Ads,BlackFriday,2024-11-26,
128,West,Premium,Desktop,Organic,SpringPromo,2024-03-25,
129,East,Basic,Mobile,Referral,,2024-03-21,
130,West,Basic,Mobile,Ads,BlackFriday,2024-11-24,
131,Central,Basic,Desktop,Organic,SummerSale,2024-08-20,2024-10-18
132,Central,Standard,Tablet,Referral,,2024-12-16,
133,West,Basic,Mobile,Email,Launch2024,2024-01-07,
134,Central,Basic,Mobile,Organic,,2024-08-16,2024-12-13
135,West,Standard,Desktop,Ads,Launch2024,2024-01-12,
136,East,Basic,Tablet,Referral,BlackFriday,2024-11-30,2025-04-03
137,East,Basic,Desktop,Organic,,2024-11-17,2025-01-08
138,Central,Standard,Tablet,Organic,,2024-08-04,
139,East,Basic,Mobile,Referral,Launch2024,2024-01-02,
140,Central,Basic,Tablet,Ads,,2024-07-30,
141,East,Basic,Mobile,Organic,BlackFriday,2024-11-27,
142,Central,Standard,Desktop,Organic,,2024-11-23,
143,Central,Standard,Desktop,Ads,Launch2024,2024-01-14,2024-03-10
144,West,Standard,Mobile,Organic,SummerSale,2024-08-20,
145,Central,Basic,Desktop,Organic,SummerSale,2024-08-11,
146,West,Premium,Mobile,Ads,BlackFriday,2024-11-26,
147,West,Premium,Desktop,Email,,2024-06-24,2024-08-09
148,East,Basic,Tablet,Ads,SpringPromo,2024-03-24,
149,West,Basic,Desktop,Ads,SpringPromo,2024-03-25,
150,Central,Standard,Mobile,Referral,SpringPromo,2024-03-20,
151,Central,Basic,Mobile,Ads,,2024-04-22,
152,West,Basic,Mobile,Organic,,2024-04-04,
153,East,Standard,Desktop,Organic,,2024-02-01,
154,West,Basic,Mobile,Email,SummerSale,2024-08-20,
155,West,Standard,Mobile,Organic,,2024-03-03,
156,Central,Standard,Mobile,Email,,2024-07-14,
157,East,Standard,Desktop,Referral,SpringPromo,2024-03-25,2024-07-19
158,East,Basic,Desktop,Referral,,2024-07-25,
159,Central,Premium,Desktop,Organic,,2024-11-07,
160,Central,Standard,Mobile,Ads,SummerSale,2024-08-16,
161,East,Basic,Desktop,Ads,SpringPromo,2024-03-30,
162,East,Basic,Mobile,Email,SpringPromo,2024-03-26,2024-05-19
163,Central,Standard,Mobile,Organic,Launch2024,2024-01-14,
164,Central,Standard,Desktop,Referral,BlackFriday,2024-11-27,
165,Central,Standard,Mobile,Referral,SummerSale,2024-08-21,
166,West,Standard,Desktop,Email,,2024-12-18,
167,Central,Basic,Tablet,Email,SummerSale,2024-08-15,
168,East,Basic,Mobile,Referral,SummerSale,2024-08-14,
169,Central,Basic,Desktop,Email,BlackFriday,2024-11-29,2024-12-31
170,West,Premium,Desktop,Referral,BlackFriday,2024-11-28,2025-01-23
171,West,Standard,Tablet,Ads,,2024-12-22,
172,Central,Standard,Mobile,Organic,SpringPromo,2024-03-21,
173,Central,Standard,Tablet,Organic,Launch2024,2024-01-11,
174,East,Standard,Desktop,Organic,,2024-03-28,
175,Central,Basic,Mobile,Referral,BlackFriday,2024-11-28,
176,West,Standard,Mobile,Organic,Launch2024,2024-01-11,
177,East,Basic,Desktop,Ads,,2024-10-11,2025-02-21
178,West,Premium,Mobile,Ads,,2024-04-07,
179,Central,Premium,Desktop,Email,SummerSale,2024-08-25,2025-01-20
180,Central,Standard,Desktop,Referral,,2024-02-20,2024-06-20
181,Central,Basic,Mobile,Organic,,2024-07-28,
182,West,Standard,Desktop,Referral,SpringPromo,2024-03-29,
183,West,Premium,Mobile,Referral,SpringPromo,2024-03-23,
184,Central,Premium,Desktop,Email,,2024-02-22,2024-03-27
185,East,Basic,Mobile,Email,Launch2024,2024-01-13,
186,West,Basic,Tablet,Ads,,2024-03-27,
187,East,Standard,Desktop,Email,,2024-02-17,
188,East,Premium,Desktop,Organic,SummerSale,2024-08-19,
189,West,Basic,Mobile,Organic,SummerSale,2024-08-16,
190,East,Standard,Tablet,Referral,SpringPromo,2024-03-22,2024-08-10
191,East,Basic,Desktop,Organic,SummerSale,2024-08-14,2025-01-08
192,Central,Basic,Mobile,Referral,,2024-10-10,
193,West,Basic,Desktop,Ads,SpringPromo,2024-03-30,
194,East,Basic,Mobile,Organic,Launch2024,2024-01-10,2024-04-22
195,West,Standard,Mobile,Referral,Launch2024,2024-01-14,
196,Central,Standard,Mobile,Email,BlackFriday,2024-11-26,
197,Central,Premium,Desktop,Ads,SpringPromo,2024-03-28,
198,West,Standard,Desktop,Referral,,2024-10-24,
199,West,Basic,Mobile,Organic,,2024-03-11,
200,Central,Premium,Mobile,Ads,,2024-05-22,
201,Central,Premium,Desktop,Organic,SpringPromo,2024-03-16,
202,Central,Premium,Desktop,Ads,,2024-04-04,
203,West,Standard,Mobile,Organic,SummerSale,2024-08-13,
204,Central,Standard,Mobile,Organic,SummerSale,2024-08-12,
205,Central,Standard,Mobile,Referral,BlackFriday,2024-11-24,
206,West,Standard,Mobile,Organic,SummerSale,2024-08-14,
207,Central,Standard,Desktop,Referral,Launch2024,2024-01-02,
208,Central,Premium,Tablet,Referral,SpringPromo,2024-03-16,
209,West,Premium,Mobile,Referral,,2024-11-10,
210,Central,Standard,Mobile,Organic,SummerSale,2024-08-25,
211,West,Standard,Mobile,Referral,Launch2024,2024-01-07,
212,Central,Basic,Mobile,Organic,,2024-03-11,2024-03-31
213,West,Basic,Desktop,Referral,,2024-11-22,
214,East,Basic,Mobile,Email,SpringPromo,2024-03-29,2024-08-21
215,Central,Premium,Desktop,Organic,SummerSale,2024-08-11,
216,West,Premium,Mobile,Organic,,2024-08-26,
217,Central,Standard,Mobile,Ads,SpringPromo,2024-03-16,
218,Central,Standard,Desktop,Referral,SummerSale,2024-08-14,
219,Central,Basic,Mobile,Organic,BlackFriday,2024-11-30,
220,East,Basic,Mobile,Ads,,2024-04-06,
221,West,Premium,Mobile,Organic,BlackFriday,2024-11-24,2024-12-26
222,East,Standard,Tablet,Referral,BlackFriday,2024-11-25,2025-01-14
223,Central,Premium,Desktop,Organic,SpringPromo,2024-03-16,
224,East,Basic,Tablet,Referral,,2024-01-29,
225,East,Premium,Mobile,Ads,BlackFriday,2024-11-24,
226,Central,Standard,Desktop,Ads,Launch2024,2024-01-03,
227,East,Basic,Mobile,Referral,,2024-11-01,
228,Central,Standard,Desktop,Referral,,2024-12-16,
229,West,Premium,Desktop,Ads,,2024-06-04,
230,West,Premium,Mobile,Referral,SpringPromo,2024-03-28,
231,East,Basic,Mobile,Ads,SummerSale,2024-08-11,2024-12-23
232,West,Premium,Mobile,Referral,SummerSale,2024-08-25,
233,Central,Standard,Mobile,Email,Launch2024,2024-01-09,
234,East,Basic,Mobile,Email,,2024-12-26,
235,East,Standard,Mobile,Ads,BlackFriday,2024-11-29,
236,East,Basic,Mobile,Organic,Launch2024,2024-01-11,
237,West,Standard,Desktop,Email,,2024-07-16,2024-08-30
238,West,Standard,Desktop,Ads,Launch2024,2024-01-07,2024-02-12
239,West,Standard,Mobile,Organic,Launch2024,2024-01-09,
240,Central,Basic,Desktop,Email,BlackFriday,2024-11-29,
241,West,Standard,Mobile,Organic,BlackFriday,2024-11-24,
242,Central,Basic,Desktop,Email,,2024-12-12,
243,West,Premium,Desktop,Organic,Launch2024,2024-01-04,
244,East,Basic,Mobile,Organic,,2024-02-28,2024-03-09
245,Central,Standard,Mobile,Organic,,2024-08-12,2024-09-11
246,West,Premium,Mobile,Email,Launch2024,2024-01-11,
247,West,Premium,Tablet,Organic,SummerSale,2024-08-10,
248,West,Standard,Mobile,Organic,BlackFriday,2024-11-29,
249,West,Premium,Desktop,Email,,2024-12-28,
250,Central,Basic,Desktop,Organic,,2024-10-26,
251,West,Standard,Tablet,Ads,BlackFriday,2024-11-24,
252,Central,Standard,Mobile,Organic,,2024-03-13,
253,East,Basic,Tablet,Ads,,2024-03-09,2024-07-04
254,West,Basic,Desktop,Referral,,2024-09-12,
255,East,Standard,Tablet,Ads,,2024-05-25,2024-06-07
256,West,Standard,Mobile,Ads,Launch2024,2024-01-10,
257,West,Basic,Mobile,Email,,2024-08-30,
258,West,Basic,Mobile,Ads,,2024-01-24,
259,Central,Standard,Desktop,Referral,,2024-06-28,
260,West,Premium,Desktop,Ads,,2024-10-09,
261,Central,Standard,Desktop,Ads,,2024-04-16,2024-07-02
262,West,Premium,Desktop,Ads,,2024-06-30,
263,West,Premium,Mobile,Ads,SummerSale,2024-08-10,
264,West,Standard,Mobile,Referral,,2024-09-27,
265,West,Premium,Mobile,Ads,BlackFriday,2024-11-26,
266,Central,Premium,Desktop,Referral,Launch2024,2024-01-07,
267,East,Basic,Mobile,Email,SummerSale,2024-08-10,2024-09-29
268,West,Premium,Mobile,Referral,,2024-04-01,
269,Central,Standard,Mobile,Referral,Launch2024,2024-01-11,2024-04-01
270,West,Standard,Mobile,Organic,BlackFriday,2024-11-28,
271,West,Premium,Desktop,Referral,SpringPromo,2024-03-19,
272,Central,Premium,Mobile,Email,,2024-12-02,
273,West,Basic,Tablet,Email,,2024-12-03,
274,Central,Basic,Desktop,Email,Launch2024,2024-01-06,
275,Central,Basic,Desktop,Ads,SpringPromo,2024-03-28,
276,West,Premium,Mobile,Email,Launch2024,2024-01-14,
277,West,Basic,Desktop,Ads,,2024-04-27,2024-09-03
278,West,Premium,Mobile,Email,,2024-04-21,
279,Central,Basic,Desktop,Organic,BlackFriday,2024-11-24,2025-01-30
280,West,Basic,Mobile,Email,SummerSale,2024-08-24,
281,Central,Premium,Desktop,Ads,BlackFriday,2024-11-30,
282,Central,Basic,Mobile,Organic,Launch2024,2024-01-04,
283,West,Basic,Desktop,Ads,SpringPromo,2024-03-22,
284,West,Standard,Mobile,Referral,,2024-07-10,
285,Central,Basic,Desktop,Email,,2024-02-09,
286,Central,Basic,Mobile,Referral,,2024-03-23,
287,Central,Standard,Mobile,Referral,SummerSale,2024-08-15,2025-01-09
288,East,Basic,Mobile,Organic,SummerSale,2024-08-11,2024-08-24
289,West,Standard,Mobile,Email,,2024-07-07,
290,West,Premium,Mobile,Email,SummerSale,2024-08-25,
291,East,Basic,Desktop,Email,,2024-04-16,2024-07-19
292,West,Premium,Mobile,Email,,2024-12-15,
293,West,Standard,Mobile,Organic,,2024-04-15,
294,Central,Basic,Desktop,Ads,Launch2024,2024-01-07,
295,Central,Standard,Mobile,Ads,,2024-10-09,
296,Central,Basic,Mobile,Email,,2024-08-08,
297,West,Premium,Desktop,Referral,,2024-02-06,
298,Central,Standard,Mobile,Email,Launch2024,2024-01-14,
299,East,Basic,Desktop,Organic,SpringPromo,2024-03-19,2024-06-05
300,West,Basic,Desktop,Referral,,2024-02-05,
301,Central,Premium,Mobile,Referral,Launch2024,2024-01-05,
302,West,Premium,Mobile,Referral,Launch2024,2024-01-09,2024-01-22
303,Central,Premium,Mobile,Referral,,2024-02-21,
304,Central,Premium,Mobile,Referral,BlackFriday,2024-11-25,
305,Central,Standard,Mobile,Organic,SpringPromo,2024-03-26,
306,Central,Premium,Mobile,Referral,,2024-07-28,
307,West,Premium,Mobile,Organic,,2024-01-29,
308,Central,Basic,Mobile,Ads,,2024-03-17,
309,East,Standard,Mobile,Organic,BlackFriday,2024-11-29,2025-02-17
310,West,Premium,Desktop,Email,SummerSale,2024-08-11,2024-09-24
311,West,Standard,Mobile,Email,,2024-11-28,
312,East,Standard,Mobile,Ads,,2024-08-26,
313,Central,Standard,Mobile,Referral,SummerSale,2024-08-12,
314,West,Premium,Mobile,Email,BlackFriday,2024-11-25,
315,East,Basic,Mobile,Organic,BlackFriday,2024-11-26,2025-01-03
316,Central,Premium,Mobile,Organic,SummerSale,2024-08-11,
317,Central,Premium,Desktop,Organic,,2024-01-31,
318,Central,Standard,Desktop,Ads,,2024-10-16,
319,Central,Basic,Mobile,Email,,2024-05-28,
320,West,Basic,Desktop,Email,,2024-02-03,
321,East,Basic,Mobile,Email,SummerSale,2024-08-19,
322,Central,Standard,Tablet,Email,Launch2024,2024-01-03,
323,West,Premium,Mobile,Referral,BlackFriday,2024-11-24,
324,East,Basic,Desktop,Organic,Launch2024,2024-01-06,
325,West,Premium,Mobile,Organic,SummerSale,2024-08-11,
326,West,Premium,Mobile,Organic,,2024-10-01,
327,West,Standard,Mobile,Email,,2024-06-20,
328,Central,Standard,Mobile,Ads,SummerSale,2024-08-11,
329,West,Standard,Mobile,Email,Launch2024,2024-01-03,2024-03-13
330,West,Premium,Desktop,Referral,SummerSale,2024-08-10,2024-12-12
331,West,Premium,Desktop,Email,,2024-11-17,2025-01-25
332,West,Premium,Mobile,Organic,SummerSale,2024-08-19,
333,East,Basic,Mobile,Organic,BlackFriday,2024-11-26,
334,East,Basic,Mobile,Ads,,2024-07-28,
335,West,Premium,Mobile,Email,SummerSale,2024-08-16,2024-11-18
336,West,Basic,Desktop,Referral,,2024-11-05,
337,Central,Basic,Mobile,Email,SpringPromo,2024-03-19,
338,West,Premium,Mobile,Referral,,2024-08-08,
339,West,Premium,Mobile,Referral,SummerSale,2024-08-21,
340,West,Standard,Tablet,Referral,SummerSale,2024-08-15,
341,West,Standard,Mobile,Email,SpringPromo,2024-03-25,
342,West,Premium,Mobile,Email,BlackFriday,2024-11-30,
343,West,Premium,Mobile,Organic,SummerSale,2024-08-23,
344,Central,Standard,Desktop,Referral,SpringPromo,2024-03-17,
345,West,Basic,Mobile,Referral,SummerSale,2024-08-17,
346,West,Premium,Mobile,Organic,Launch2024,2024-01-08,
347,West,Premium,Desktop,Email,,2024-07-13,
348,West,Standard,Desktop,Referral,Launch2024,2024-01-10,
349,East,Standard,Mobile,Email,,2024-01-11,2024-06-02
350,East,Basic,Desktop,Ads,SummerSale,2024-08-15,
351,Central,Premium,Desktop,Organic,,2024-05-02,
352,West,Standard,Desktop,Email,BlackFriday,2024-11-26,
353,West,Standard,Mobile,Email,SpringPromo,2024-03-24,
354,West,Premium,Mobile,Ads,,2024-03-01,
355,West,Basic,Desktop,Email,SummerSale,2024-08-21,
356,East,Standard,Mobile,Email,SpringPromo,2024-03-22,2024-07-24
357,Central,Standard,Tablet,Email,SpringPromo,2024-03-18,2024-06-09
358,Central,Standard,Mobile,Organic,SummerSale,2024-08-16,
359,Central,Basic,Mobile,Ads,BlackFriday,2024-11-29,
360,Central,Premium,Mobile,Referral,BlackFriday,2024-11-24,
361,Central,Premium,Tablet,Email,,2024-01-24,2024-05-08
362,Central,Standard,Desktop,Email,,2024-01-07,2024-05-26
363,Central,Basic,Mobile,Email,,2024-04-20,2024-06-23
364,Central,Standard,Mobile,Ads,,2024-12-28,2025-04-06
365,West,Premium,Mobile,Email,,2024-07-12,
366,East,Standard,Desktop,Referral,,2024-06-25,2024-11-02
367,East,Basic,Desktop,Email,,2024-08-14,
368,West,Standard,Mobile,Referral,,2024-12-29,2025-03-23
369,Central,Basic,Mobile,Organic,,2024-11-16,
370,West,Standard,Mobile,Organic,,2024-11-21,
371,West,Basic,Desktop,Email,BlackFriday,2024-11-28,
372,East,Basic,Mobile,Ads,,2024-01-13,2024-03-06
373,Central,Basic,Mobile,Referral,BlackFriday,2024-11-29,
374,Central,Standard,Desktop,Referral,,2024-11-17,
375,Central,Standard,Mobile,Email,,2024-11-16,
376,West,Standard,Mobile,Ads,,2024-01-01,
377,Central,Standard,Desktop,Organic,SpringPromo,2024-03-16,
378,Central,Basic,Mobile,Organic,BlackFriday,2024-11-29,
379,East,Standard,Mobile,Ads,BlackFriday,2024-11-24,2025-04-15
380,West,Standard,Mobile,Organic,SummerSale,2024-08-21,
381,West,Premium,Tablet,Ads,Launch2024,2024-01-06,
382,East,Basic,Mobile,Referral,SpringPromo,2024-03-20,2024-05-11
383,Central,Standard,Tablet,Organic,BlackFriday,2024-11-30,2025-03-02
384,Central,Standard,Tablet,Email,,2024-04-02,
385,East,Basic,Tablet,Email,,2024-02-11,2024-03-14
386,Central,Premium,Tablet,Ads,,2024-05-12,
387,Central,Basic,Mobile,Organic,SpringPromo,2024-03-21,
388,East,Basic,Mobile,Organic,SummerSale,2024-08-19,
389,West,Basic,Mobile,Email,Launch2024,2024-01-10,2024-05-09
390,Central,Standard,Tablet,Ads,SummerSale,2024-08-14,
391,West,Basic,Desktop,Email,,2024-03-24,
392,East,Premium,Tablet,Organic,BlackFriday,2024-11-29,
393,Central,Premium,Mobile,Ads,,2024-05-09,
394,West,Standard,Mobile,Email,BlackFriday,2024-11-29,
395,West,Standard,Mobile,Email,SummerSale,2024-08-11,
396,West,Standard,Desktop,Ads,SpringPromo,2024-03-26,
397,West,Basic,Desktop,Referral,Launch2024,2024-01-13,
398,Central,Basic,Desktop,Organic,,2024-01-13,2024-05-10
399,East,Basic,Mobile,Referral,,2024-12-25,
400,Central,Standard,Mobile,Organic,,2024-05-28,2024-07-16
401,East,Premium,Mobile,Email,,2024-09-06,
402,West,Basic,Mobile,Ads,,2024-02-07,
403,West,Premium,Tablet,Email,,2024-04-25,
404,Central,Basic,Desktop,Referral,SpringPromo,2024-03-24,2024-04-08
405,West,Premium,Mobile,Email,SpringPromo,2024-03-15,
406,West,Standard,Mobile,Organic,,2024-08-08,
407,West,Standard,Mobile,Ads,,2024-02-02,
408,Central,Basic,Mobile,Email,,2024-08-09,2024-12-13
409,Central,Standard,Mobile,Ads,SpringPromo,2024-03-29,
410,West,Premium,Mobile,Ads,,2024-05-15,
411,West,Premium,Desktop,Organic,,2024-04-10,
412,Central,Standard,Tablet,Ads,BlackFriday,2024-11-25,2024-12-31
413,Central,Basic,Desktop,Ads,,2024-04-21,
414,East,Basic,Desktop,Referral,,2024-07-11,
415,West,Premium,Mobile,Referral,SummerSale,2024-08-20,
416,East,Premium,Mobile,Ads,SummerSale,2024-08-15,
417,West,Premium,Tablet,Email,,2024-03-27,
418,West,Basic,Mobile,Ads,,2024-10-28,
419,Central,Standard,Mobile,Ads,Launch2024,2024-01-10,
420,East,Standard,Mobile,Email,Launch2024,2024-01-14,2024-06-01
421,West,Standard,Desktop,Ads,,2024-12-30,
422,East,Basic,Mobile,Referral,,2024-03-28,
423,Central,Standard,Desktop,Email,BlackFriday,2024-11-27,
424,West,Premium,Mobile,Organic,,2024-08-28,
425,Central,Standard,Desktop,Organic,Launch2024,2024-01-12,
426,Central,Standard,Mobile,Organic,,2024-12-20,2025-02-05
427,East,Standard,Mobile,Ads,SummerSale,2024-08-19,2024-11-01
428,West,Premium,Mobile,Organic,SummerSale,2024-08-19,
429,West,Standard,Mobile,Referral,SpringPromo,2024-03-22,
430,East,Standard,Mobile,Referral,SpringPromo,2024-03-22,2024-08-07
431,Central,Standard,Mobile,Ads,,2024-09-04,2024-12-27
432,West,Premium,Desktop,Referral,,2024-01-04,
433,Central,Basic,Mobile,Organic,BlackFriday,2024-11-28,2025-04-03
434,West,Standard,Mobile,Referral,BlackFriday,2024-11-24,2025-04-11
435,West,Premium,Desktop,Organic,,2024-08-13,
436,West,Standard,Mobile,Ads,BlackFriday,2024-11-30,2025-03-10
437,West,Premium,Desktop,Ads,Launch2024,2024-01-13,
438,West,Standard,Mobile,Organic,,2024-12-21,
439,West,Standard,Mobile,Email,SummerSale,2024-08-24,
440,West,Premium,Desktop,Organic,SummerSale,2024-08-14,
441,West,Premium,Mobile,Referral,SpringPromo,2024-03-28,
442,East,Standard,Desktop,Ads,,2024-05-17,
443,East,Basic,Mobile,Organic,SummerSale,2024-08-22,2024-11-30
444,West,Standard,Desktop,Organic,,2024-03-05,
445,East,Basic,Mobile,Email,,2024-11-25,2025-03-19
446,West,Premium,Mobile,Referral,Launch2024,2024-01-02,
447,West,Premium,Mobile,Referral,,2024-06-19,2024-07-17
448,Central,Standard,Mobile,Referral,BlackFriday,2024-11-25,
449,West,Premium,Mobile,Email,,2024-10-17,
450,East,Standard,Mobile,Organic,,2024-11-04,2025-02-01
451,Central,Standard,Desktop,Email,,2024-06-29,
452,West,Premium,Desktop,Email,SpringPromo,2024-03-28,
453,West,Premium,Mobile,Referral,Launch2024,2024-01-08,
454,West,Premium,Mobile,Ads,BlackFriday,2024-11-27,
